State,Rural Interstate (Miles),Other Rural Freeways and Expressways (Miles),Other Rural Principal Arterial (Miles),Minor Rural Arterial (Miles),Major RuralCollector (Miles),Minor Rural Collector (Miles),Local Rural (Miles),Total Rural (Miles),Urban Interstate (Miles),Other Urban Freeways and Expressways (Miles),Other Urban Principal Arterial (Miles),Minor Urban Arterial (Miles),Major Urban Collector (Miles),Minor Urban Collector (Miles),Local Urban (Miles),Total Urban (Miles),TOTAL Rural + Urban (Miles),TOTAL Rural + Urban (Km),State Area (Km2),Paved Km / State km2
Alabama,571,0,2.052,3.958,12.246,5.924,45.389,70.139,433,33,1.295,2.382,3.628,188,22.074,30.032,100.170,160.272,135.767,"1,18"
Alaska,1.002,0,799,431,1.370,1.427,9.487,14.516,79,0,140,201,252,236,2.258,3.165,17.680,28.288,1.723.337,"0,02"
Arizona,916,19,1.263,2.186,3.342,2.962,29.702,40.390,252,252,854,2.539,2.813,2.666,17.201,26.578,66.968,107.149,295.234,"0,36"
Arkansas,439,72,1.877,3.068,11.814,6.747,58.002,82.019,310,102,631,1.834,2.176,240,11.932,17.227,99.246,158.794,137.732,"1,15"
California,1.209,422,3.394,6.240,12.364,7.588,41.752,72.969,1.247,1.472,6.659,10.537,12.829,205,69.645,102.593,175.562,280.899,423.967,"0,66"
Colorado,648,28,2.569,3.473,5.448,8.828,47.217,68.211,304,325,1.067,1.809,1.851,66,15.574,20.996,89.207,142.732,269.601,"0,53"
Connecticut,29,36,122,218,856,419,4.014,5.693,318,244,712,1.672,1.818,317,10.801,15.882,21.575,34.520,14.357,"2,40"
Delaware,0,30,99,90,391,256,1.996,2.862,41,39,214,225,415,69,2.661,3.663,6.526,10.441,6.446,"1,62"
District of Columbia,0,0,0,0,0,0,0,0,12,15,107,164,156,0,1.063,1.516,1.516,2.425,177,"13,70"
Florida,717,175,2.619,2.193,4.023,3.204,23.528,36.457,778,602,3.954,4.232,6.468,1.881,69.116,87.030,123.488,197.580,170.312,"1,16"
Georgia,538,0,2.428,4.724,11.594,6.728,50.216,76.228,709,174,2.362,4.826,3.713,724,39.836,52.344,128.572,205.715,153.910,"1,34"
Hawaii,0,0,78,255,220,80,1.024,1.658,55,34,269,192,263,190,1.842,2.843,4.501,7.202,28.313,"0,25"
Idaho,522,40,1.719,1.466,5.924,2.976,33.570,46.217,93,18,434,669,764,12,5.075,7.064,53.281,85.250,216.443,"0,39"
Illinois,1.243,48,2.360,4.729,11.673,4.713,71.427,96.194,942,118,2.889,4.190,4.860,1.527,35.273,49.799,145.993,233.589,149.995,"1,56"
Indiana,769,154,1.981,2.092,9.881,8.611,43.292,66.780,492,158,1.744,3.097,3.408,851,20.580,30.330,97.110,155.376,94.326,"1,65"
Iowa,610,0,3.422,3.911,14.263,15.994,63.798,101.999,178,0,923,1.676,1.346,0,8.717,12.840,114.838,183.741,145.746,"1,26"
