AIRPORT,STATE,Enplanements,Population
ADQ,AK,81970,738432
ANC,AK,2525893,738432
BET,AK,158824,738432
BRW,AK,47676,738432
CDV,AK,16997,738432
FAI,AK,493443,738432
JNU,AK,403538,738432
KTN,AK,124747,738432
OME,AK,59929,738432
OTZ,AK,66503,738432
PSG,AK,20477,738432
SCC,AK,77152,738432
SIT,AK,81019,738432
WRG,AK,12588,738432
YAK,AK,10230,738432
AKN,AK,35693,738432
DLG,AK,26949,738432
GST,AK,11189,738432
BHM,AL,1325897,4858979
DHN,AL,46792,4858979
HSV,AL,519785,4858979
MGM,AL,175619,4858979
MOB,AL,278053,4858979
PPG,American Samoa,65860,51368
FSM,AR,84136,2978204
LIT,AR,958510,2978204
TXK,AR,34881,2978204
XNA,AR,629905,2978204
FLG,AZ,67419,6828065
PHX,AZ,21351504,6828065
TUS,AZ,1549253,6828065
ACV,CA,55168,39144818
BFL,CA,120966,39144818
BUR,CA,1973897,39144818
CEC,CA,4915,39144818
FAT,CA,695008,39144818
LAX,CA,36351272,39144818
LGB,CA,1220937,39144818
MMH,CA,23504,39144818
MRY,CA,180605,39144818
OAK,CA,5506687,39144818
ONT,CA,2089801,39144818
PSP,CA,947728,39144818
RDD,CA,30852,39144818
SAN,CA,9985763,39144818
SBA,CA,316511,39144818
SBP,CA,144324,39144818
SFO,CA,24190560,39144818
SJC,CA,4822480,39144818
SMF,CA,4714729,39144818
SMX,CA,43941,39144818
SNA,CA,4945209,39144818
ASE,CO,233512,5456574
COS,CO,593246,5456574
DEN,CO,26280043,5456574
DRO,CO,186800,5456574
EGE,CO,156937,5456574
GJT,CO,214404,5456574
GUC,CO,34412,5456574
HDN,CO,93896,5456574
MTJ,CO,102756,5456574
PUB,CO,3674,5456574
BDL,CT,2926054,3590886
DCA,DC,11242375,8382993
IAD,DC,10363974,8382993
ILG,DE,12574,945934
DAB,FL,306360,20271272
ECP,FL,428704,20271272
EYW,FL,362108,20271272
FLL,FL,13061632,20271272
GNV,FL,213225,20271272
JAX,FL,2716473,20271272
MCO,FL,18759938,20271272
MIA,FL,20986349,20271272
MLB,FL,220393,20271272
PBI,FL,3113591,20271272
PNS,FL,787916,20271272
RSW,FL,4159215,20271272
SRQ,FL,607449,20271272
TLH,FL,332777,20271272
TPA,FL,9150458,20271272
VPS,FL,373072,20271272
ABY,GA,33949,10214860
AGS,GA,271915,10214860
ATL,GA,49340732,10214860
BQK,GA,34561,10214860
CSG,GA,51790,10214860
SAV,GA,980531,10214860
VLD,GA,39544,10214860
GUM,Guam,1420500,167978
HNL,HI,9479094,1431603
ITO,HI,627171,1431603
KOA,HI,1485777,1431603
LIH,HI,1491688,1431603
OGG,HI,3220753,1431603
ALO,IA,26950,3123899
CID,IA,557383,3123899
DBQ,IA,38248,3123899
DSM,IA,1156462,3123899
SUX,IA,26104,3123899
BOI,ID,1487777,1654930
IDA,ID,147923,1654930
LWS,ID,66579,1654930
PIH,ID,24745,1654930
SUN,ID,67955,1654930
TWF,ID,33806,1654930
BMI,IL,186633,12859995
CMI,IL,89836,12859995
MDW,IL,10830850,12859995
MLI,IL,368114,12859995
ORD,IL,36305668,12859995
PIA,IL,318162,12859995
SPI,IL,90413,12859995
EVV,IN,203350,6619680
FWA,IN,353876,6619680
IND,IN,3889567,6619680
SBN,IN,315313,6619680
GCK,KS,27152,2911641
HYS,KS,8470,2911641
ICT,KS,773550,2911641
MHK,KS,66263,2911641
LEX,KY,606980,4425092
PAH,KY,21027,4425092
SDF,KY,1640297,4425092
AEX,LA,159252,4670724
BTR,LA,366102,4670724
LCH,LA,69130,4670724
LFT,LA,243840,4670724
MLU,LA,114170,4670724
MSY,LA,5329711,4670724
SHV,LA,295257,4670724
BOS,MA,16290362,6794422
ORH,MA,59624,6794422
ACK,MA,155952,6794422
MVY,MA,49853,6794422
HYA,MA,65790,6794422
BWI,MD,11738845,6006401
PWM,ME,858449,1329328
BGR,ME,273829,1329328
APN,MI,10409,9922576
AZO,MI,122081,9922576
CIU,MI,22687,9922576
CMX,MI,25732,9922576
DTW,MI,16255520,9922576
ESC,MI,16665,9922576
FNT,MI,411763,9922576
GRR,MI,1280803,9922576
IMT,MI,12672,9922576
LAN,MI,180927,9922576
MBS,MI,119004,9922576
MKG,MI,17087,9922576
PLN,MI,25197,9922576
TVC,MI,210231,9922576
BJI,MN,24765,5489594
BRD,MN,18200,5489594
DLH,MN,131128,5489594
HIB,MN,12394,5489594
INL,MN,14706,5489594
MSP,MN,17634273,5489594
RST,MN,114657,5489594
STC,MN,19171,5489594
COU,MO,64707,6083672
JLN,MO,28306,6083672
MCI,MO,5135127,6083672
SGF,MO,447843,6083672
STL,MO,6239248,6083672
GPT,MS,317154,2992333
GTR,MS,38632,2992333
JAN,MS,497042,2992333
MEI,MS,24685,2992333
PIB,MS,12947,2992333
BIL,MT,420426,1032949
BTM,MT,27448,1032949
BZN,MT,512042,1032949
GTF,MT,182635,1032949
HLN,MT,99460,1032949
MSO,MT,350172,1032949
WYS,MT,7796,1032949
AVL,NC,393386,10042802
CLT,NC,21913166,10042802
EWN,NC,109237,10042802
FAY,NC,220339,10042802
GSO,NC,848249,10042802
ILM,NC,388023,10042802
OAJ,NC,148960,10042802
RDU,NC,4954735,10042802
BIS,ND,262469,756927
DIK,ND,41925,756927
DVL,ND,6180,756927
FAR,ND,437188,756927
GFK,ND,145785,756927
ISN,ND,102345,756927
JMS,ND,6086,756927
MOT,ND,181328,756927
GRI,NE,64602,1896190
LNK,NE,160525,1896190
OMA,NE,2046179,1896190
MHT,NH,1026349,1330608
ACY,NJ,587967,8958013
EWR,NJ,18684818,8958013
TTN,NJ,389598,8958013
ABQ,NM,2323883,2085109
HOB,NM,16567,2085109
ROW,NM,35411,2085109
SAF,NM,75460,2085109
EKO,NV,13701,2890845
LAS,NV,21857693,2890845
RNO,NV,1669876,2890845
ALB,NY,1276793,19795791
BUF,NY,2336431,19795791
ELM,NY,155936,19795791
HPN,NY,757466,19795791
IAG,NY,121616,19795791
ISP,NY,603653,19795791
JFK,NY,27782369,19795791
LGA,NY,14319924,19795791
PBG,NY,131600,19795791
ROC,NY,1177994,19795791
SWF,NY,142603,19795791
SYR,NY,987732,19795791
BGM,NY,77654,19795791
ITH,NY,87321,19795791
CAK,OH,759335,11613423
CLE,OH,3916922,11613423
CMH,OH,3312496,11613423
CVG,OH,3054991,11613423
DAY,OH,1041759,11613423
TOL,OH,94044,11613423
LAW,OK,51859,3911338
OKC,OK,1803188,3911338
TUL,OK,1359582,3911338
EUG,OR,447813,4028977
MFR,OR,370187,4028977
OTH,OR,16207,4028977
PDX,OR,8340252,4028977
RDM,OR,280823,4028977
ABE,PA,320544,12802503
AVP,PA,219796,12802503
ERI,PA,88953,12802503
LBE,PA,181105,12802503
MDT,PA,587049,12802503
PHL,PA,15101349,12802503
PIT,PA,3890681,12802503
BQN,PR,202197,3474182
PSE,PR,98830,3474182
SJU,PR,4233638,3474182
PVD,RI,1763676,1056298
CAE,SC,533575,4896146
CHS,SC,1669988,4896146
GSP,SC,955097,4896146
MYR,SC,899859,4896146
ABR,SD,27595,858469
FSD,SD,493530,858469
RAP,SD,264183,858469
BNA,TN,5715205,6600299
CHA,TN,393680,6600299
MEM,TN,1873716,6600299
TRI,TN,216426,6600299
TYS,TN,848390,6600299
ABI,TX,86000,27469114
ACT,TX,62882,27469114
AMA,TX,341132,27469114
AUS,TX,5797562,27469114
BPT,TX,33747,27469114
BRO,TX,143353,27469114
CLL,TX,89844,27469114
CRP,TX,338312,27469114
DAL,TX,7040950,27469114
DFW,TX,31589839,27469114
ELP,TX,1381392,27469114
GGG,TX,20968,27469114
GRK,TX,176895,27469114
HOU,TX,5937990,27469114
HRL,TX,259864,27469114
IAH,TX,20595881,27469114
LBB,TX,443239,27469114
LRD,TX,110368,27469114
MAF,TX,518509,27469114
MFE,TX,391687,27469114
SAT,TX,4091434,27469114
SJT,TX,63842,27469114
SPS,TX,44262,27469114
TYR,TX,72294,27469114
CDC,UT,14334,2995919
SGU,UT,69680,2995919
SLC,UT,10634538,2995919
CHO,VA,274767,8382993
ORF,VA,1515200,8382993
PHF,VA,202104,8382993
RIC,VA,1740391,8382993
ROA,VA,300181,8382993
STT,Virgin Islands,706098,8382993
STX,Virgin Islands,176588,8382993
BTV,VT,581143,626042
BLI,WA,447693,7170351
GEG,WA,1515351,7170351
PSC,WA,348990,7170351
SEA,WA,20148980,7170351
